auction_code,car_year,color,make,model,body,transmission,mileage,condition_grade,times_run,sale_price,formatted_sold_date
MAA,2014,PRLDIAMD,MERCEDES,E350W4,4DSN,A,38888.0,49,1,30000,2017-01-05
MAA,2014,LUNRBLUE,MERCEDES,E350W4,4DSN,A,22637.0,49,2,28500,2017-01-05
MAA,2014,WHITE,MERCEDES,SL550R,2DCV,A,1465.0,42,2,62250,2017-01-05
TBAA,2011,BLACK,MERCEDES,E55,2DCV,A,64816.0,20,5,16200,2017-01-05
AAA,2011,GREY,MERCEDES,E350C,2DCP,A,68146.0,43,1,17100,2017-01-05
AAA,2010,WHITE,MERCEDES,GL450,SUV,A,104151.0,41,1,15200,2017-01-05
AAA,2013,SILVER,MERCEDES,ML350,4SUV,A,64141.0,49,2,23000,2017-01-05
FAA,2010,WHITE,MERCEDES,C300,4DSN,A,90045.0,28,1,8300,2017-01-05
MAA,2009,BLACK,MERCEDES,S550,4DSN,A,47776.0,44,1,27000,2017-01-05
MAA,2010,GREY,MERCEDES,GLK350W4,SUV,A,43362.0,35,1,17700,2017-01-05
MAA,2011,GREY,MERCEDES,ML350,SUV,A,43602.0,43,1,20400,2017-01-05
MAA,2012,BLACK,MERCEDES,GL450,4SUV,A,40148.0,28,2,26750,2017-01-05
AAA,2015,COPPER,MERCEDES,G55,SUV,A,1109.0,50,2,95000,2017-01-05
MAA,2016,BLACK,MERCEDES,C63,4DSN,A,6974.0,49,2,66000,2017-01-05
MAA,2015,BLACK,MERCEDES,GLK350W4,SUV,A,12439.0,49,1,30800,2017-01-05
MAA,2014,GREY,MERCEDES,S550,4DSN,A,22885.0,44,1,59000,2017-01-05
MAA,2013,SILVER,MERCEDES,ML350,4SUV,A,34500.0,34,3,29000,2017-01-05
TBAA,2012,BLACK,MERCEDES,C250,2DCP,A,54319.0,18,1,11700,2017-01-05
TBAA,2010,BLACK,MERCEDES,C300,4DSN,A,59315.0,35,1,10800,2017-01-05
TBAA,2012,BLACK,MERCEDES,E350C,2DCP,A,43818.0,43,1,18600,2017-01-05
FAA,2014,GRAY,MERCEDES,C250,4DSN,A,66780.0,41,6,14700,2017-01-05
MAA,2013,BLACK,MERCEDES,SL65 AMG,2DCP,A,10878.0,45,1,87500,2017-01-05
MAA,2011,GREY,MERCEDES,ML350,SUV,A,48710.0,37,1,19800,2017-01-05
MAA,2016,BLACK,MERCEDES,S550,4DSN,A,5740.0,49,2,84250,2017-01-05
MAA,2011,BLACK,MERCEDES,E350A,2DCV,A,44493.0,48,1,22000,2017-01-05
MAA,2010,GREY,MERCEDES,GLK350W4,SUV,A,26824.0,37,1,17750,2017-01-05
MAA,2014,BLACK,MERCEDES,C300,4DSN,A,17193.0,38,1,21200,2017-01-05
MAA,2014,SILVER,MERCEDES,S550,4DSN,A,24872.0,43,1,58750,2017-01-05
MAA,2013,WHITE,MERCEDES,S550,4DSN,A,51976.0,37,1,38750,2017-01-05
MAA,2014,BLACK,MERCEDES,E350A,2DCV,A,14343.0,50,2,36900,2017-01-05
THAA,2013,BLUE,MERCEDES,E350W,4DSN,A,51513.0,28,1,19000,2017-01-05
AAA,2007,GREY,MERCEDES,S550,4DSN,A,141648.0,27,7,9500,2017-01-05
MAA,2014,POL SIL,MERCEDES,CLA250C,4DSN,A,27014.0,34,1,22250,2017-01-05
MAA,2014,BLACK,MERCEDES,GL450,SUV,A,31942.0,31,1,45500,2017-01-05
MAA,2014,BLACK,MERCEDES,GLK350W4,4SUV,A,37387.0,41,3,26000,2017-01-05
MAA,2014,MARS RED,MERCEDES,C300,4DSN,A,19102.0,27,1,19500,2017-01-05
MAA,2016,POL SIL,MERCEDES,CLA250C,4DSN,A,8862.0,49,3,26250,2017-01-05
MAA,2014,BLACK,MERCEDES,E350W4,4DSN,A,32146.0,36,1,26000,2017-01-05
MAA,2017,RED,MERCEDES,C300,2DCP,A,3180.0,50,1,41000,2017-01-05
MAA,2016,PLR WHT,MERCEDES,GLE350W,SUV,A,5400.0,49,1,49000,2017-01-05
MAA,2015,PAL SIL,MERCEDES,GLK350W4,SUV,A,36792.0,24,3,23000,2017-01-05
MAA,2014,BLACK,MERCEDES,C250,2DCP,A,22742.0,33,3,19000,2017-01-05
MAA,2014,DIA SLV,MERCEDES,S550,4DSN,A,26813.0,32,1,57500,2017-01-05
MAA,2014,LUN BLU,MERCEDES,GL350,4SUV,A,20023.0,32,2,43000,2017-01-05
MAA,2014,PURPLE,MERCEDES,CLA250C,4DSN,A,46154.0,31,1,20750,2017-01-05
MAA,2014,NIT BLK,MERCEDES,CLA250C,4DSN,A,42911.0,28,1,20000,2017-01-05
MAA,2014,MARS RED,MERCEDES,GLK350W4,4SUV,A,44968.0,28,1,24000,2017-01-05
MAA,2014,PAL SIL,MERCEDES,GLK350W4,4SUV,A,30441.0,29,1,26250,2017-01-05
